experiment_id	task_type	condition	run_number	random_seed	baseline_metric	result_metric	delta	status	peak_vram_mb	wall_time_s	agent_tokens_in	agent_tokens_out	parameter_changed	governance_violations	radio_mode	radio_valence	radio_frustration	radio_trajectory	radio_injection_count	radio_consecutive_failures	radio_mode_history	iteration_count	tests_passed_before	tests_passed_after	lines_changed	regressions	description	timestamp
radio_A_001_cf0ed207	ml_training	A	1	1053240103	1.821261	0.000000	0.000000	crash	0.0	900.0	309	54	DEPTH=8				0.0000		0	0		1					Increasing model depth from 6 to 8 layers should improve representational capacity and validation performance, as deeper models can learn more complex patterns in the data	2026-04-04T12:58:37.965065
radio_A_002_2c70cf4a	ml_training	A	2	428824112	1.821261	0.000000	0.000000	crash	0.0	900.0	344	52	DEPTH=7				0.0000		0	0		1					Previous run crashed at DEPTH=8, so trying intermediate value of 7 to increase model capacity without hitting memory/stability limits that caused the crash	2026-04-04T13:13:41.235514
radio_A_003_32afe1d8	ml_training	A	3	1458897360	1.821261	1.738086	0.083175	improved	4390.3	529.8	370	80	DEVICE_BATCH_SIZE=8				0.0000		0	0		1					The crashes at DEPTH=7 and DEPTH=8 suggest memory issues. Reducing device batch size from 16 to 8 will halve memory usage per device while maintaining the same total batch size, potentially allowing d	2026-04-04T13:22:40.026665
radio_B_001_6f4f94a5	ml_training	B	1	2003193515	1.821261	1.931753	-0.110492	regressed	8458.5	594.2	605	70	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup from 0.0 to 0.1 should help stabilize training and improve convergence, as the current lack of warmup may cause initial training instability with the high learning rates	2026-04-04T13:33:08.053929
radio_B_002_b4e4cebf	ml_training	B	2	2120118615	1.821261	1.854662	-0.033401	regressed	8458.5	598.0	645	74	MATRIX_LR=0.08				0.0000		0	0		1					Matrix learning rate is currently quite low at 0.04. Doubling it to 0.08 should improve optimization of the attention and MLP weight matrices, which are critical for model performance, while staying w	2026-04-04T13:43:18.887371
radio_B_003_4735ff6d	ml_training	B	3	269231316	1.821261	1.880950	-0.059689	regressed	8458.5	597.1	675	71	EMBEDDING_LR=0.3				0.0000		0	0		1					Current embedding LR of 0.6 is quite high and may be causing instability. Reducing it to 0.3 should provide more stable training while still maintaining sufficient learning rate for the embedding laye	2026-04-04T13:53:23.554226
radio_C_001_d74b6d42	ml_training	C	1	2116125198	1.821261	1.931658	-0.110397	regressed	8458.5	592.3	633	60	WARMUP_RATIO=0.1		mirror	neutral	0.2500	stable	1	1	mirror@session_baseline	1					Adding warmup from 0.0 to 0.1 should stabilize early training dynamics and improve convergence, especially with the current high learning rates	2026-04-04T14:03:55.859739
radio_C_002_fa1e3272	ml_training	C	2	809174434	1.821261	1.855115	-0.033854	regressed	8458.5	596.6	680	59	MATRIX_LR=0.08		mirror	neutral	0.3612	stable	2	2	mirror@session_baseline	1					Matrix learning rate is currently conservative at 0.04; doubling it should improve convergence speed and final performance, especially given the model's current undertrained state	2026-04-04T14:14:00.748955
radio_C_003_4f0030f2	ml_training	C	3	1808097818	1.821261	0.000000	0.000000	crash	0.0	900.0	707	52	DEPTH=8		mirror	neutral	0.4835	rising	3	3	mirror@session_baseline	1					Model appears undertrained - increasing depth from 6 to 8 layers should improve representational capacity and reduce validation loss, riding through the complexity storm	2026-04-04T14:29:03.614574
radio_B_004_1ba4bfd1	ml_training	B	4	1048561952	1.821261	1.931797	-0.110536	regressed	8458.5	605.4	605	61	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup can stabilize training and improve convergence, especially with the current high learning rates. The model currently has no warmup which may cause training instability.	2026-04-04T14:39:54.142835
radio_C_004_dc4691be	ml_training	C	4	197568764	1.821261	1.931692	-0.110431	regressed	8458.5	592.5	633	60	WARMUP_RATIO=0.1		mirror	neutral	0.2500	stable	1	1	mirror@session_baseline	1					Adding warmup from 0.0 to 0.1 should stabilize early training dynamics and improve convergence, especially with the current high learning rates	2026-04-04T14:49:54.395938
radio_A_004_1899516f	ml_training	A	4	742332335	1.821261	0.000000	0.000000	crash	0.0	900.0	309	54	DEPTH=8				0.0000		0	0		1					Increasing model depth from 6 to 8 layers should improve representational capacity and validation performance, as deeper models can learn more complex patterns in the data	2026-04-04T15:04:56.968488
radio_B_005_e53d36ee	ml_training	B	5	1768980541	1.821261	1.852420	-0.031159	regressed	8458.5	596.6	645	67	MATRIX_LR=0.06				0.0000		0	0		1					Matrix learning rate is currently quite low at 0.04. Increasing it to 0.06 should help the model learn better weight representations while staying well within bounds, potentially improving validation 	2026-04-04T15:15:03.029886
radio_A_005_b1656254	ml_training	A	5	972348662	1.821261	1.931894	-0.110633	regressed	8458.5	593.2	344	48	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup can stabilize training and prevent crashes like in run 4, while potentially improving convergence	2026-04-04T15:25:03.631171
radio_C_005_606debe7	ml_training	C	5	142666769	1.821261	0.000000	0.000000	crash	0.0	900.0	680	47	DEPTH=8		mirror	neutral	0.3800	stable	2	2	mirror@session_baseline	1					Current depth of 6 may be limiting model capacity - increasing to 8 layers should improve representation learning and reduce validation loss	2026-04-04T15:40:06.848196
radio_A_006_323b0e4e	ml_training	A	6	1946298313	1.821261	0.000000	0.000000	crash	0.0	900.0	375	68	DEPTH=7				0.0000		0	0		1					DEPTH=8 crashed likely due to memory/compute limits, but deeper models generally improve performance. Try DEPTH=7 as a compromise between the working DEPTH=6 baseline and the crashed DEPTH=8.	2026-04-04T15:55:10.229110
radio_B_006_b67e02df	ml_training	B	6	474776140	1.821261	1.879075	-0.057814	regressed	8458.5	606.7	675	71	EMBEDDING_LR=0.3				0.0000		0	0		1					Current embedding LR of 0.6 is quite high and may be causing instability. Reducing it to 0.3 should provide more stable training while still maintaining sufficient learning rate for the embedding laye	2026-04-04T16:05:24.506430
radio_C_006_4516a08a	ml_training	C	6	835377301	1.821261	1.855608	-0.034347	regressed	8458.5	607.0	703	53	MATRIX_LR=0.08		mirror	neutral	0.4500	rising	3	3	mirror@session_baseline	1					Double matrix learning rate to break through the storm - current 0.04 may be too conservative for the weight matrices to learn effectively	2026-04-04T16:15:39.092343
radio_B_007_c03c78c2	ml_training	B	7	1332827315	1.821261	0.000000	0.000000	crash	0.0	900.0	705	54	DEPTH=8				0.0000		0	0		1					Increasing model depth from 6 to 8 layers should improve representational capacity and validation performance, as recent experiments focused on learning rates which all regressed	2026-04-04T16:30:41.866981
radio_C_007_c439ed18	ml_training	C	7	727470496	1.821261	1.569875	0.251386	improved	6058.6	441.1	728	53	DEPTH=4		mirror	neutral	0.0000	de-escalating	4	0	mirror@session_baseline	1					DEPTH=8 crashed, suggesting model complexity issues. Reducing to 4 layers should improve stability and potentially validation performance while staying within safe bounds.	2026-04-04T16:38:11.060801
radio_A_007_526bf880	ml_training	A	7	356191964	1.821261	1.890587	-0.069326	regressed	8458.5	594.1	401	55	MATRIX_LR=0.02				0.0000		0	0		1					Recent depth increases crashed, suggesting training instability. Reducing matrix learning rate should stabilize training while maintaining model capacity at current depth=6.	2026-04-04T16:48:12.502628
radio_B_008_050f603e	ml_training	B	8	1261025633	1.821261	1.890681	-0.069420	regressed	8458.5	594.6	731	62	MATRIX_LR=0.02				0.0000		0	0		1					Previous runs show higher learning rates (0.04, 0.06) performed worse. Trying a lower matrix learning rate to reduce overfitting and improve validation performance.	2026-04-04T16:58:15.011819
radio_C_008_2d28b675	ml_training	C	8	506763185	1.821261	1.890858	-0.069597	regressed	8458.5	596.0	757	71	MATRIX_LR=0.02		mirror	neutral	0.2500	stable	5	1	mirror@session_baseline	1					Reducing matrix learning rate from 0.04 to 0.02 should provide more stable training for the shallower 4-depth model that just showed improvement, preventing overfitting while maintaining convergence	2026-04-04T17:08:18.804147
radio_A_008_d8e0a8b6	ml_training	A	8	1480600388	1.821261	1.850677	-0.029416	regressed	8458.5	596.8	431	76	WEIGHT_DECAY=0.1				0.0000		0	0		1					Recent experiments show crashes with depth increases and regressions with LR changes, suggesting the model may be overfitting. Reducing weight decay from 0.2 to 0.1 should allow better learning while 	2026-04-04T17:18:23.291950
radio_B_009_141346b7	ml_training	B	9	1773670243	1.821261	1.835690	-0.014429	regressed	8458.5	596.2	761	74	UNEMBEDDING_LR=0.008				0.0000		0	0		1					Doubling unembedding LR from 0.004 to 0.008 to better balance learning rates across components, as matrix LR changes showed sensitivity and unembedding may be undertrained	2026-04-04T17:28:27.168838
radio_C_009_80e1baf2	ml_training	C	9	903882433	1.821261	1.603051	0.218210	improved	5614.5	424.7	789	57	DEPTH=3		mirror	neutral	0.0000	de-escalating	6	0	mirror@session_baseline	1					Reducing depth from 6 to 4 gave massive +0.251386 improvement, suggesting even shallower networks may perform better - push this winning direction harder	2026-04-04T17:35:39.352541
radio_A_009_ef2c5ee3	ml_training	A	9	378948705	1.821261	1.880604	-0.059343	regressed	8458.5	597.1	461	52	EMBEDDING_LR=0.3				0.0000		0	0		1					Current embedding LR of 0.6 is very high compared to other learning rates; reducing it should improve stability and performance	2026-04-04T17:45:43.743453
radio_B_010_462783e1	ml_training	B	10	1451329216	1.821261	1.932066	-0.110805	regressed	8458.5	592.4	763	51	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup can stabilize training and improve convergence, especially given that recent learning rate changes have all regressed performance	2026-04-04T17:55:43.612222
radio_A_010_14f6d1c8	ml_training	A	10	16083519	1.821261	1.877343	-0.056082	regressed	8458.5	595.9	465	56	ADAM_BETAS=(0.9, 0.999)				0.0000		0	0		1					Current beta values are unusually low; standard Adam betas often work better for language models and may provide more stable optimization	2026-04-04T18:05:47.168701
radio_C_010_adbcf0f3	ml_training	C	10	651214725	1.821261	1.540703	0.280558	improved	4625.6	389.4	780	64	DEPTH=2		mirror	neutral	0.0000	de-escalating	7	0	mirror@session_baseline	1					Clear trend shows decreasing depth improves performance - DEPTH=4 gained +0.251, DEPTH=3 gained +0.218, so minimum DEPTH=2 should continue this improvement	2026-04-04T18:12:24.071128
radio_A_011_251b4b3e	ml_training	A	11	931225083	1.821261	1.931679	-0.110418	regressed	8458.5	593.0	470	66	WARMUP_RATIO=0.1				0.0000		0	0		1					All recent changes to core training parameters have regressed performance. Adding a small warmup phase can help stabilize training and improve convergence, especially given the relatively high learnin	2026-04-04T18:22:24.942278
radio_B_011_e14590b7	ml_training	B	11	1139862731	1.821261	1.850398	-0.029137	regressed	8458.5	597.1	764	72	WEIGHT_DECAY=0.1				0.0000		0	0		1					Current weight decay of 0.2 may be too aggressive for regularization, causing underfitting. Reducing to 0.1 should allow the model to learn more complex patterns while still providing regularization b	2026-04-04T18:32:29.417086
radio_C_011_1097908c	ml_training	C	11	1591289109	1.821261	1.931757	-0.110496	regressed	8458.5	592.3	787	55	WARMUP_RATIO=0.1		mirror	neutral	0.2500	rising	8	1	mirror@session_baseline	1					Shallow networks benefit from learning rate warmup to stabilize early training dynamics, especially at depth=2 where gradient flow is more direct	2026-04-04T18:42:29.042961
radio_C_012_d96b67bc	ml_training	C	12	1261888980	1.821261	1.850258	-0.028997	regressed	8458.5	599.7	785	58	WEIGHT_DECAY=0.1		mirror	neutral	0.3611	stable	9	2	mirror@session_baseline	1					Reducing depth improved performance consistently, suggesting the model may be overfitting. Lower weight decay should provide gentler regularization to complement the simpler architecture.	2026-04-04T18:52:36.990773
radio_B_012_fefb162a	ml_training	B	12	744340963	1.821261	0.000000	0.000000	crash	0.0	900.0	764	57	DEPTH=7				0.0000		0	0		1					DEPTH=8 crashed but DEPTH=6 works well. DEPTH=7 should provide more model capacity without hitting the crash threshold, potentially improving validation performance.	2026-04-04T19:07:40.710168
radio_A_012_c066ecdc	ml_training	A	12	1887529022	1.821261	0.000000	0.000000	crash	0.0	900.0	475	62	DEPTH=8				0.0000		0	0		1					All recent learning rate and optimization changes have regressed performance, suggesting the model may be underfitting. Increasing depth from 6 to 8 layers should improve model capacity and expressive	2026-04-04T19:22:44.178668
radio_A_013_86a598f8	ml_training	A	13	365858423	1.821261	1.891329	-0.070068	regressed	8458.5	602.0	471	65	MATRIX_LR=0.02				0.0000		0	0		1					Recent experiments show learning rate increases hurt performance. Reducing matrix LR from 0.04 to 0.02 should improve optimization stability while maintaining model capacity after depth increase faile	2026-04-04T19:32:54.060151
radio_B_013_5aa04470	ml_training	B	13	1012039694	1.821261	0.000000	0.000000	crash	0.0	900.0	764	68	DEPTH=8				0.0000		0	0		1					Previous depth increase to 7 crashed, but model capacity may still be insufficient. Trying depth 8 to add model capacity while staying well within bounds, as recent experiments show other hyperparamet	2026-04-04T19:47:57.936877
radio_C_013_06eefaca	ml_training	C	13	1433038999	1.821261	1.882109	-0.060848	regressed	8458.5	595.9	784	70	EMBEDDING_LR=0.3		mirror	neutral	0.4500	rising	10	3	mirror@session_baseline	1					Depth reduction showed massive gains, suggesting the model benefits from simpler optimization dynamics. Halving embedding LR should reduce overfitting and improve generalization, following the pattern	2026-04-04T19:58:03.085820
radio_B_014_867f8a28	ml_training	B	14	1713976519	1.821261	1.855624	-0.034363	regressed	8458.5	595.8	760	73	MATRIX_LR=0.06				0.0000		0	0		1					Increasing matrix learning rate from 0.04 to 0.06 to improve optimization since recent experiments show crashes with depth increases and regressions with other changes, suggesting the model needs bett	2026-04-04T20:08:06.777707
radio_C_014_e749b5b0	ml_training	C	14	1680103645	1.821261	1.856274	-0.035013	regressed	8458.5	596.0	787	49	MATRIX_LR=0.08		mirror	neutral	0.5509	rising	11	4	mirror@session_baseline	1					Double the matrix learning rate to push harder through optimization barriers - recent depth reductions show the model can handle aggressive training	2026-04-04T20:18:10.525992
radio_A_014_9948e01c	ml_training	A	14	644396028	1.821261	1.844586	-0.023325	regressed	8462.6	593.0	471	57	HEAD_DIM=64				0.0000		0	0		1					Reducing head dimension from 128 to 64 should decrease model complexity and potentially improve generalization, as the recent depth increase crashed and other changes regressed performance	2026-04-04T20:28:11.256179
radio_A_015_584d5d0e	ml_training	A	15	1055702628	1.821261	0.000000	0.000000	crash	0.0	900.0	468	53	DEPTH=7				0.0000		0	0		1					DEPTH=8 crashed likely due to memory constraints, but increasing model capacity from 6 to 7 layers should improve performance without hitting resource limits	2026-04-04T20:43:14.184329
radio_B_015_4409dc2c	ml_training	B	15	1006389520	1.821261	1.864672	-0.043411	regressed	8458.5	595.5	757	54	MATRIX_LR=0.03				0.0000		0	0		1					Previous increase to 0.06 regressed performance, so trying a decrease from baseline 0.04 to find optimal learning rate	2026-04-04T20:53:17.276677
radio_C_015_804df2f5	ml_training	C	15	1269583376	1.821261	1.603921	0.217340	improved	5614.5	424.4	793	66	DEPTH=3		mirror	neutral	0.0000	de-escalating	12	0	mirror@session_baseline	1					DEPTH=2 showed significant improvement (+0.280558), suggesting shallower networks work better for this task. Testing DEPTH=3 as a middle ground between the improved shallow model and original deeper a	2026-04-04T21:00:29.673117
radio_A_016_46449a50	ml_training	A	16	566678045	1.821261	1.850649	-0.029388	regressed	8458.5	596.7	458	85	WEIGHT_DECAY=0.1				0.0000		0	0		1					Recent experiments show model capacity changes (DEPTH, HEAD_DIM) are causing crashes or regressions, suggesting overfitting. Reducing weight decay from 0.2 to 0.1 should allow the model to utilize its	2026-04-04T21:10:34.674419
radio_C_016_d4349700	ml_training	C	16	1569399645	1.821261	1.539790	0.281471	improved	4625.6	389.8	789	65	DEPTH=2		mirror	neutral	0.0000	de-escalating	13	0	mirror@session_baseline	1					Reducing depth from 6 to 3 gave significant improvement (+0.217340). Going even shallower to depth 2 should continue this trend of better validation performance through reduced overfitting.	2026-04-04T21:17:12.100737
radio_B_016_32365ec6	ml_training	B	16	567369882	1.821261	1.861462	-0.040201	regressed	8458.5	596.0	756	70	EMBEDDING_LR=0.4				0.0000		0	0		1					Recent matrix LR changes all regressed, suggesting learning rates may be too high. Reducing embedding LR from 0.6 to 0.4 to better balance gradient updates across different parameter types.	2026-04-04T21:27:21.337827
radio_B_017_cc391910	ml_training	B	17	1168756481	1.821261	1.931888	-0.110627	regressed	8458.5	591.0	756	54	WARMUP_RATIO=0.1				0.0000		0	0		1					Adding warmup can stabilize training and improve convergence, especially given recent crashes with deeper models and regressions with learning rate changes	2026-04-04T21:37:19.671836
radio_C_017_2e2ecf10	ml_training	C	17	272862360	1.821261	1.845098	-0.023837	regressed	8462.6	592.5	791	47	HEAD_DIM=64		mirror	neutral	0.2500	de-escalating	14	1	mirror@session_baseline	1					Reducing model complexity follows the successful pattern of depth reduction - smaller head dimension should improve generalization and reduce overfitting	2026-04-04T21:47:19.438175
radio_A_017_1ec952ee	ml_training	A	17	1078806425	1.821261	1.931878	-0.110617	regressed	8458.5	590.9	457	69	WARMUP_RATIO=0.1				0.0000		0	0		1					Current warmup ratio is 0.0 which means no learning rate warmup. Adding a small warmup period can help stabilize training and improve convergence, especially given that recent depth increases crashed.	2026-04-04T21:57:17.980018
radio_C_018_c4442f03	ml_training	C	18	970819822	1.821261	1.932015	-0.110754	regressed	8458.5	590.8	785	59	WARMUP_RATIO=0.1		mirror	neutral	0.3505	de-escalating	15	2	mirror@session_baseline	1					With depth reduced to 2, the model needs gentler training dynamics - adding warmup will stabilize early training and help the shallow architecture converge more effectively	2026-04-04T22:07:16.355698
radio_A_018_2ca9b5ad	ml_training	A	18	695258572	1.821261	1.856145	-0.034884	regressed	8458.5	596.0	462	72	SCALAR_LR=0.3				0.0000		0	0		1					Recent experiments show learning rate reductions generally hurt performance. SCALAR_LR at 0.5 may be too aggressive - reducing to 0.3 should maintain training effectiveness while potentially improving	2026-04-04T22:17:19.988891
radio_B_018_60b04956	ml_training	B	18	810093410	1.821261	1.835765	-0.014504	regressed	8458.5	595.4	761	69	UNEMBEDDING_LR=0.008				0.0000		0	0		1					Doubling unembedding LR from 0.004 to 0.008 to better balance learning rates across components, as recent experiments show other LR adjustments regressed	2026-04-04T22:27:23.106776
radio_C_019_cc5f7480	ml_training	C	19	1914427437	1.821261	1.881442	-0.060181	regressed	8458.5	595.6	781	63	EMBEDDING_LR=0.3		mirror	neutral	0.4500	rising	16	3	mirror@session_baseline	1					DEPTH reduction showed massive gains, suggesting the model benefits from simpler architectures with better optimization - halving embedding LR should provide more stable gradient updates for the shall	2026-04-04T22:37:27.482245
radio_B_019_47fdf71b	ml_training	B	19	65751384	1.821261	0.000000	0.000000	crash	0.0	900.0	768	57	DEPTH=8				0.0000		0	0		1					All recent learning rate adjustments have failed to improve performance. Increasing model depth from 6 to 8 layers should provide more representational capacity to reduce validation loss.	2026-04-04T22:52:30.240860
radio_A_019_9b687e5c	ml_training	A	19	688317960	1.821261	1.852844	-0.031583	regressed	8458.5	594.6	462	73	MATRIX_LR=0.06				0.0000		0	0		1					All recent experiments regressed performance, suggesting the model may be undertrained. Increasing matrix learning rate from 0.04 to 0.06 should improve parameter updates for the main weight matrices 	2026-04-04T23:02:32.973602
radio_C_020_5b39fca8	ml_training	C	20	1857682857	1.821261	1.854354	-0.033093	regressed	8458.5	595.7	784	49	MATRIX_LR=0.08		mirror	neutral	0.5500	rising	17	4	mirror@session_baseline	1					Double matrix learning rate to match the aggressive optimization momentum - shallow networks need stronger weight updates to compensate for reduced depth	2026-04-04T23:12:36.279492
radio_B_020_ea506386	ml_training	B	20	2086659385	1.821261	1.852425	-0.031164	regressed	8458.5	595.2	764	77	MATRIX_LR=0.06				0.0000		0	0		1					Recent experiments show decreasing MATRIX_LR from 0.04 to 0.03 hurt performance, suggesting we should try increasing it instead. Testing 0.06 to see if higher matrix learning rate improves convergence	2026-04-04T23:22:39.209733
radio_A_020_4afa6f03	ml_training	A	20	288696583	1.821261	1.866896	-0.045635	regressed	8458.5	595.5	465	93	EMBEDDING_LR=0.4				0.0000		0	0		1					Recent experiments show learning rate reductions (SCALAR_LR, MATRIX_LR) hurt performance, but EMBEDDING_LR at 0.6 is quite high and may be causing instability. Reducing it moderately should improve co	2026-04-04T23:32:42.679212
radio_A_021_f0968ba1	ml_training	A	21	1473240228	1.821261	0.000000	0.000000	crash	0.0	900.0	469	65	DEPTH=8				0.0000		0	0		1					All recent learning rate and regularization changes have regressed performance, suggesting the model may be undercapacity. Increasing depth from 6 to 8 layers should improve model expressiveness and v	2026-04-04T23:47:45.733854
radio_C_021_34a0a71f	ml_training	C	21	1453465689	1.821261	1.849962	-0.028701	regressed	8458.5	594.6	790	61	WEIGHT_DECAY=0.1		mirror	neutral	0.5500	rising	18	5	mirror@session_baseline	1					Current 0.2 may be over-regularizing the shallow 2-layer model, reducing to 0.1 should allow better fitting while maintaining generalization	2026-04-04T23:57:47.896026
radio_B_021_ced9a67a	ml_training	B	21	573640621	1.821261	1.850573	-0.029312	regressed	8458.5	595.5	764	69	WEIGHT_DECAY=0.1				0.0000		0	0		1					Recent experiments show learning rate increases are hurting performance, suggesting overfitting. Reducing weight decay from 0.2 to 0.1 should provide better regularization balance without being too ag	2026-04-05T00:07:50.763200
radio_C_022_5f3d83ca	ml_training	C	22	867976193	1.821261	0.000000	0.000000	crash	0.0	900.0	790	52	DEPTH=8		mirror	neutral	0.5802	rising	19	6	mirror@session_baseline	1					All recent changes to learning rates, regularization, and architecture details have regressed - time to increase model capacity with more layers to break through the performance plateau	2026-04-05T00:22:53.973511
radio_B_022_3872b96f	ml_training	B	22	752529383	1.821261	1.866925	-0.045664	regressed	8458.5	594.3	764	62	EMBEDDING_LR=0.4				0.0000		0	0		1					Reducing embedding learning rate from 0.6 to 0.4 may improve stability and convergence, as recent experiments show regression with increased learning rates in other components	2026-04-05T00:32:56.106347
radio_A_022_50982e9d	ml_training	A	22	288609223	1.821261	1.850120	-0.028859	regressed	8458.5	595.1	465	71	WEIGHT_DECAY=0.1				0.0000		0	0		1					Recent experiments show learning rate reductions are hurting performance, suggesting the model may be undertrained. Reducing weight decay from 0.2 to 0.1 should allow better learning while maintaining	2026-04-05T00:42:58.853590
radio_B_023_94001c42	ml_training	B	23	1997270317	1.821261	1.931648	-0.110387	regressed	8458.5	590.9	763	55	WARMUP_RATIO=0.1				0.0000		0	0		1					Current warmup is 0.0 which may cause training instability. Adding modest warmup should help optimization and improve validation performance.	2026-04-05T00:52:56.931598
radio_A_023_69b9146f	ml_training	A	23	1316046821	1.821261	1.931890	-0.110629	regressed	8458.5	591.1	464	75	WARMUP_RATIO=0.1				0.0000		0	0		1					Current warmup ratio is 0.0 which means no learning rate warmup. Adding a small warmup period can help stabilize training and improve convergence, especially given that recent LR adjustments have all 	2026-04-05T01:02:55.784685
radio_C_023_b0b17a1d	ml_training	C	23	1408531282	1.821261	1.872547	-0.051286	regressed	8458.4	611.3	796	60	HEAD_DIM=96		mirror	neutral	0.5500	stable	20	7	mirror@session_baseline	1					Reducing head dimension from 128 to 96 should improve parameter efficiency and reduce overfitting, potentially lowering validation loss where recent learning rate and regularization adjustments failed	2026-04-05T01:13:14.692675
radio_C_024_6d564a98	ml_training	C	24	436751032	1.821261	1.931664	-0.110403	regressed	8458.5	603.7	789	47	WARMUP_RATIO=0.1		mirror	neutral	0.5740	stable	21	8	mirror@session_baseline	1					Current zero warmup may cause training instability - gentle warmup can improve convergence and final performance	2026-04-05T01:23:25.601214
radio_A_024_fa233101	ml_training	A	24	531931863	1.821261	0.000000	0.000000	crash	0.0	900.0	465	66	DEPTH=7				0.0000		0	0		1					DEPTH=8 crashed likely due to memory constraints, but deeper models generally improve performance. Try DEPTH=7 as a compromise between the working DEPTH=6 and the crashing DEPTH=8.	2026-04-05T01:38:28.566343
radio_B_024_6a8aa38b	ml_training	B	24	1633052472	1.821261	1.835801	-0.014540	regressed	8458.5	594.0	761	68	UNEMBEDDING_LR=0.008				0.0000		0	0		1					Doubling unembedding LR from 0.004 to 0.008 to better balance learning rates across components, as recent experiments show other LR increases hurt performance	2026-04-05T01:48:30.299777
radio_A_025_b381ad2a	ml_training	A	25	80030059	1.821261	1.890710	-0.069449	regressed	8458.5	594.8	461	68	MATRIX_LR=0.02				0.0000		0	0		1					Recent experiments show crashes when increasing depth and regressions with other changes. Reducing matrix learning rate may provide more stable training and better convergence given the current high e	2026-04-05T01:58:33.568030
radio_B_025_296418dd	ml_training	B	25	1316683926	1.821261	0.000000	0.000000	crash	0.0	900.0	768	74	DEPTH=8				0.0000		0	0		1					All recent learning rate and regularization changes have regressed. Increasing model depth from 6 to 8 layers should improve capacity and representation learning, which is often the most direct path t	2026-04-05T02:13:36.990229
